#,DEPARTAMENTO,"CODIFI
CACIÓN",MUNICIPIO,"CODIFI
CACIÓN 1","ESCUELAS DE
 FORMACIÓN","AÑO DE 
INGRESO","EDAD 
(AÑOS)",GENERO,RESIDENCIA,VEREDA,"CODIFI
CACION",EVENTOS
1,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2012,13,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
2,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2012,11,MASCULINO,CASCO URBANO,,O1,NACIONALES
3,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2014,15,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
4,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2013,15,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
5,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2012,14,MASCULINO,CASCO URBANO,,O1,NACIONALES
6,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2016,14,MASCULINO,CASCO URBANO,,O1,NACIONALES
7,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2017,15,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
8,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2017,9,MASCULINO,CASCO URBANO,,O1,NACIONALES
9,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2015,10,MASCULINO,CASCO URBANO,,O1,DEPARTAMENTALES
10,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2019,8,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
11,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2019,7,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
12,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2013,16,MASCULINO,ZONA RURAL,GRAMAL,3,DEPARTAMENTALES
13,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2013,13,MASCULINO,CASCO URBANO,,O1,NACIONALES
14,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2016,8,MASCULINO,CASCO URBANO,,O1,DEPARTAMENTALES
15,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2016,11,MASCULINO,CASCO URBANO,,O1,NACIONALES
16,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2012,15,MASCULINO,CASCO URBANO,,O1,NACIONALES
17,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2013,14,MASCULINO,CASCO URBANO,,O1,DEPARTAMENTALES
18,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2018,13,MASCULINO,LA UNIÓN,LA UNION,O2,MUNICIPALES
19,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2017,13,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
20,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2018,10,MASCULINO,CASCO URBANO,,O1,DEPARTAMENTALES
21,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2019,12,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
22,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2017,8,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
23,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2018,12,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
24,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2019,13,MASCULINO,ZONA RURAL,LA CHORRERA,17,MUNICIPALES
25,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2019,12,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
26,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2019,10,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
27,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2014,12,MASCULINO,CASCO URBANO,,O1,NACIONALES
28,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2016,10,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
29,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2017,11,MASCULINO,ZONA RURAL,GRAMAL,3,DEPARTAMENTALES
30,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2019,12,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
31,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2017,9,MASCULINO,CASCO URBANO,,O1,DEPARTAMENTALES
32,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2016,8,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
33,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2017,11,MASCULINO,CASCO URBANO,,O1,DEPARTAMENTALES
34,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2013,14,MASCULINO,CASCO URBANO,,O1,NACIONALES
35,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2013,14,MASCULINO,CASCO URBANO,,O1,NACIONALES
36,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2012,13,MASCULINO,CASCO URBANO,,O1,NACIONALES
37,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2012,15,MASCULINO,CASCO URBANO,,O1,DEPARTAMENTALES
38,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2016,10,MASCULINO,CASCO URBANO,,O1,DEPARTAMENTALES
39,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2016,10,MASCULINO,CASCO URBANO,,O1,DEPARTAMENTALES
40,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2017,8,MASCULINO,CASCO URBANO,,O1,MUNICIPALES
41,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2015,12,MASCULINO,CASCO URBANO,,O1,NACIONALES
42,CUNDINAMARCA,25,Fómeque,279,FUTBOL,2017,10,MASCULINO,CASCO URBANO,,O1,DEPARTAMENTALES
